sample_id,replicate,timepoint,dose,growth,generations,is_t0
dose_0-rep_0-t_0,dose_0-rep_0,0.0,0.12345679012345678,117055.0,0.0,True
dose_0-rep_0-t_1,dose_0-rep_0,1.0,0.12345679012345678,234292.89384810615,1.0011266371943761,False
dose_0-rep_0-t_2,dose_0-rep_0,2.0,0.12345679012345678,427061.5122706585,1.8672573245346546,False
dose_0-rep_0-t_3,dose_0-rep_0,3.0,0.12345679012345678,668560.4452222767,2.5138714412935887,False
dose_0-rep_0-t_4,dose_0-rep_0,4.0,0.12345679012345678,883476.5973974025,2.9160053589907093,False
dose_0-rep_0-t_5,dose_0-rep_0,5.0,0.12345679012345678,1024302.3566620992,3.129383171737148,False
dose_0-rep_1-t_0,dose_0-rep_1,0.0,0.12345679012345678,117055.0,0.0,True
dose_0-rep_1-t_1,dose_0-rep_1,1.0,0.12345679012345678,234292.89384810615,1.0011266371943761,False
dose_0-rep_1-t_2,dose_0-rep_1,2.0,0.12345679012345678,427061.5122706585,1.8672573245346546,False
dose_0-rep_1-t_3,dose_0-rep_1,3.0,0.12345679012345678,668560.4452222767,2.5138714412935887,False
dose_0-rep_1-t_4,dose_0-rep_1,4.0,0.12345679012345678,883476.5973974025,2.9160053589907093,False
dose_0-rep_1-t_5,dose_0-rep_1,5.0,0.12345679012345678,1024302.3566620992,3.129383171737148,False
dose_0-rep_2-t_0,dose_0-rep_2,0.0,0.12345679012345678,117055.0,0.0,True
dose_0-rep_2-t_1,dose_0-rep_2,1.0,0.12345679012345678,234292.89384810615,1.0011266371943761,False
dose_0-rep_2-t_2,dose_0-rep_2,2.0,0.12345679012345678,427061.5122706585,1.8672573245346546,False
dose_0-rep_2-t_3,dose_0-rep_2,3.0,0.12345679012345678,668560.4452222767,2.5138714412935887,False
dose_0-rep_2-t_4,dose_0-rep_2,4.0,0.12345679012345678,883476.5973974025,2.9160053589907093,False
dose_0-rep_2-t_5,dose_0-rep_2,5.0,0.12345679012345678,1024302.3566620992,3.129383171737148,False
dose_1-rep_0-t_0,dose_1-rep_0,0.0,0.20117262002701805,117055.0,0.0,True
dose_1-rep_0-t_1,dose_1-rep_0,1.0,0.20117262002701805,222422.7611495618,0.9261178702440107,False
dose_1-rep_0-t_2,dose_1-rep_0,2.0,0.20117262002701805,394457.30302182614,1.7526825875833112,False
dose_1-rep_0-t_3,dose_1-rep_0,3.0,0.20117262002701805,618290.3220565522,2.401097863199693,False
dose_1-rep_0-t_4,dose_1-rep_0,4.0,0.20117262002701805,833511.6554962726,2.832015812996294,False
dose_1-rep_0-t_5,dose_1-rep_0,5.0,0.20117262002701805,988339.672526323,3.077820391955883,False
dose_1-rep_1-t_0,dose_1-rep_1,0.0,0.20117262002701805,117055.0,0.0,True
dose_1-rep_1-t_1,dose_1-rep_1,1.0,0.20117262002701805,222422.7611495618,0.9261178702440107,False
dose_1-rep_1-t_2,dose_1-rep_1,2.0,0.20117262002701805,394457.30302182614,1.7526825875833112,False
